Date,Open,High,Low,Close,Adj Close,Volume
2017-03-14,176.179993,176.820007,175.210007,175.720001,168.834167,3147500
2017-03-15,175.710007,176.279999,174.750000,175.809998,168.920654,3815500
2017-03-16,178.460007,179.000000,176.820007,177.240005,170.294601,4311800
2017-03-17,176.289993,176.789993,175.649994,175.649994,168.766891,5921000
2017-03-20,175.649994,176.179993,175.139999,175.699997,168.814941,2476100
2017-03-21,176.009995,176.229996,173.839996,173.880005,167.066254,3927700
2017-03-22,174.039993,175.059998,172.800003,174.779999,167.930984,3450500
2017-03-23,174.429993,175.669998,173.559998,174.820007,167.969421,3740000
2017-03-24,175.119995,175.500000,173.389999,173.830002,167.018219,3221700
2017-03-27,172.690002,174.160004,172.089996,173.770004,166.960571,3259000
2017-03-28,173.940002,175.000000,173.000000,174.509995,167.671585,3523900
2017-03-29,174.300003,174.490005,173.460007,173.940002,167.123901,3085600
2017-03-30,173.860001,174.589996,173.690002,173.860001,167.047058,3168300
2017-03-31,173.979996,174.949997,173.690002,174.139999,167.316086,2913700
2017-05-04,158.889999,159.139999,158.360001,159.050003,152.817398,4280600
2017-05-05,153.520004,155.779999,153.000000,155.050003,148.974136,12521300
2017-05-08,152.800003,153.470001,152.199997,153.029999,148.469650,7492000
2017-05-09,152.600006,153.100006,151.559998,152.110001,147.577057,6853000
2017-05-10,151.649994,152.369995,151.130005,151.250000,146.742676,4999900
2017-05-11,151.050003,151.149994,149.789993,150.649994,146.160568,5627900
2017-05-12,150.300003,151.259995,150.000000,150.369995,145.888901,3715300
2017-05-15,150.619995,151.830002,150.449997,151.509995,146.994919,4245500
2017-05-16,151.660004,153.990005,151.660004,153.679993,149.100266,5513700
2017-05-17,153.300003,154.139999,150.889999,150.929993,146.432220,5191500
2017-05-18,150.860001,151.330002,150.110001,150.779999,146.286682,3274200
2017-05-19,151.009995,152.460007,150.889999,151.979996,147.450928,5643000
2017-05-22,152.100006,152.839996,151.600006,152.639999,148.091263,3302100
2017-06-28,155.149994,155.550003,154.779999,155.320007,150.691406,2221000
2017-06-29,155.350006,155.740005,153.619995,154.130005,149.536865,3262200
2017-06-30,154.279999,154.500000,153.139999,153.830002,149.245819,3571500
2017-07-03,153.580002,156.029999,153.520004,155.580002,150.943649,2822500
2017-07-05,155.770004,155.889999,153.630005,153.669998,149.090561,3564400
2017-07-06,153.360001,153.830002,152.229996,152.360001,147.819611,2757500
2017-07-07,152.619995,153.490005,152.139999,152.940002,148.382324,2460100
2017-07-10,152.910004,153.889999,152.630005,153.419998,148.848038,3206200
2017-07-11,153.259995,153.649994,152.050003,153.190002,148.624878,3447500
2017-07-12,153.479996,154.240005,153.050003,153.699997,149.119675,3097900
2017-07-13,153.699997,154.190002,153.190002,153.630005,149.051773,2476100
2017-07-14,154.009995,154.619995,153.399994,154.240005,149.643585,3256400
2017-07-17,153.589996,153.880005,152.240005,153.009995,148.450226,4762600
2017-07-18,152.360001,154.289993,152.000000,154.000000,149.410721,7566800
2017-07-19,150.020004,150.250000,146.710007,147.529999,143.133545,14293600
2017-07-20,147.529999,148.830002,147.029999,147.660004,143.259659,7212200
2017-07-21,147.589996,147.869995,146.509995,147.080002,142.696960,6509500
2017-07-24,147.000000,147.039993,145.800003,145.990005,141.639435,3877600
2017-07-25,146.570007,147.490005,146.029999,146.190002,141.833481,4208900
2017-07-26,146.270004,146.460007,144.470001,145.360001,141.028198,3932400
2017-07-27,145.000000,145.399994,143.639999,145.070007,140.746872,6430800
2017-07-28,144.809998,145.039993,143.839996,144.289993,139.990082,3054800
2017-07-31,144.380005,144.929993,144.169998,144.669998,140.358765,4355700
2017-08-01,145.000000,145.669998,144.720001,145.300003,140.970001,3219500
2017-08-02,145.119995,145.289993,144.220001,144.449997,140.145340,3540900
2017-08-03,144.429993,145.339996,144.429993,144.940002,140.620728,3035400
2017-08-04,145.000000,145.389999,144.399994,145.160004,140.834167,2549400
2017-08-07,145.000000,145.089996,142.750000,143.470001,139.194519,4618300
2017-08-08,142.000000,142.759995,142.000000,142.110001,139.331802,3298700
2017-08-09,141.750000,142.029999,141.190002,141.770004,138.998444,2925800
2017-08-10,141.639999,142.419998,141.229996,141.839996,139.067078,4525400
2017-08-11,142.449997,142.589996,141.520004,141.839996,139.067078,3004000
2017-08-14,142.000000,142.759995,141.940002,142.320007,139.537689,2222300
2017-08-15,142.550003,143.339996,140.580002,142.070007,139.292587,4681500
2017-08-16,141.789993,142.910004,141.610001,142.500000,139.714172,3287800
2017-08-17,142.520004,142.889999,140.699997,140.699997,137.949356,4422100
2017-08-18,140.869995,141.149994,139.580002,139.699997,136.968918,4152700
2017-08-21,139.589996,140.419998,139.130005,140.330002,137.586594,3190700
2017-08-22,140.639999,141.149994,140.380005,141.009995,138.253296,2544400
2017-08-23,140.699997,143.050003,140.679993,142.139999,139.361206,4048300
2017-08-24,142.500000,143.679993,142.250000,142.940002,140.145569,3592200
2017-08-25,143.300003,144.190002,143.250000,143.740005,140.929932,2872900
2017-08-28,144.110001,144.559998,142.389999,142.509995,139.723969,5134500
2017-08-29,142.100006,143.429993,141.899994,143.139999,140.341660,3009500
2017-08-30,143.259995,143.279999,142.410004,142.559998,139.772995,2736000
2017-08-31,143.020004,143.660004,142.630005,143.029999,140.233810,3656400
2017-09-01,142.979996,144.500000,142.979996,144.080002,141.263290,3351700
2017-09-05,143.500000,144.360001,142.699997,143.039993,140.243622,3097500
2017-09-06,143.880005,144.470001,143.500000,143.820007,141.008377,3273300
2017-09-07,144.100006,144.639999,142.410004,142.899994,140.106339,4188200
2017-09-08,143.149994,143.149994,141.639999,142.449997,139.665146,3366200
2017-09-11,143.539993,145.130005,143.009995,144.860001,142.028030,4613400
2017-09-12,145.110001,146.369995,144.509995,145.759995,142.910431,5238100
2017-09-13,145.350006,146.289993,145.339996,145.990005,143.135941,4101000
2017-09-14,145.860001,146.380005,145.509995,145.539993,142.694733,3756900
2017-09-15,144.820007,145.169998,144.080002,144.820007,141.988815,7397200
2017-09-18,144.809998,145.479996,144.270004,144.550003,141.724091,3019500
2017-09-19,144.789993,144.979996,144.220001,144.389999,141.567215,3464400
2017-09-20,144.929993,145.880005,144.419998,145.880005,143.028107,5447500
2017-09-21,145.649994,145.889999,145.100006,145.259995,142.420212,2555600
2017-09-22,145.589996,145.589996,144.589996,145.130005,142.292755,2792300
2017-09-25,145.119995,146.029999,144.910004,145.869995,143.018280,5213100
2017-09-26,146.360001,147.419998,145.940002,146.559998,143.694809,4488600
2017-09-27,146.679993,146.899994,145.029999,145.660004,142.812393,3502700
2017-09-28,145.660004,145.860001,144.210007,145.660004,142.812393,2774800
2017-09-29,145.449997,145.690002,144.919998,145.080002,142.243729,2654700
2017-10-02,145.350006,146.869995,145.210007,146.660004,143.792847,2973200
2017-10-03,146.690002,147.199997,146.339996,146.779999,143.910492,2302700
2017-10-04,147.000000,147.020004,146.110001,146.479996,143.616348,2244400
2017-10-05,146.679993,147.539993,146.479996,146.720001,143.851669,2686500
2017-10-06,146.639999,146.850006,146.320007,146.479996,143.616348,2623200
2017-10-09,146.500000,147.789993,146.350006,147.389999,144.508575,2682600
2017-10-10,147.710007,148.949997,147.649994,148.500000,145.596863,4032600
2017-10-11,148.399994,148.470001,147.279999,147.619995,144.734070,3702200
2017-10-12,147.559998,147.889999,146.770004,147.029999,144.155609,3264300
2017-10-13,147.479996,147.850006,146.940002,147.100006,144.224243,2506600
2017-10-16,147.220001,147.669998,146.509995,146.830002,143.959518,3052100
2017-10-17,146.630005,147.119995,146.179993,146.539993,143.675186,6372400
2017-10-18,157.119995,161.229996,156.949997,159.529999,156.411240,30490200
2017-10-19,159.800003,160.960007,159.089996,160.899994,157.754456,9914200
2017-10-20,161.070007,162.479996,159.770004,162.070007,158.901581,7868800
2017-10-23,162.050003,162.509995,159.539993,159.550003,156.430862,5779400
2017-10-24,159.649994,159.699997,155.169998,155.880005,152.832596,8194700
2017-10-25,156.009995,156.369995,153.059998,153.500000,150.499115,6921100
2017-10-26,154.309998,155.119995,153.539993,153.600006,150.597183,4300500
2017-10-27,154.539993,154.630005,152.910004,153.679993,150.675598,4895200
2017-10-30,153.759995,154.589996,152.710007,154.360001,151.342316,4210400
2017-10-31,154.330002,154.929993,152.929993,154.059998,151.048172,4328300
2017-11-01,154.100006,154.899994,153.830002,154.029999,151.018768,3240200
2017-11-02,154.179993,154.490005,152.910004,153.350006,150.352066,3397600
2017-11-03,153.419998,153.470001,151.490005,151.580002,148.616669,4431800
